table_name,module_guess,use_category,phase_mapping,recommended_action,create_order,engine,charset,collation,table_comment,column_count,primary_key_columns,pk_column_count,index_count_total,unique_index_count,secondary_index_count,foreign_key_count,referenced_by_count,row_count_from_dump,has_data,auto_increment_next
audit_log,Audit / Security,ACTIVE_CORE_SECURITY,Phase 3/4/6 cross-cutting,Write in same transaction for state changes; never optional.,1,InnoDB,utf8,utf8_unicode_ci,Cluster 10: generic write-audit log,11,audit_id,1,5,0,4,0,1,20,YES,21
audit_log_changes,Audit / Security,ACTIVE_CORE_SECURITY,Phase 3/4/6 cross-cutting,Write in same transaction for state changes; never optional.,2,InnoDB,utf8,utf8_unicode_ci,Cluster 10: before/after field diffs,5,change_id,1,2,0,1,1,0,0,NO,
cmms_amc_mst,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,3,InnoDB,utf8,utf8_unicode_ci,,11,AMC_ID,1,3,0,2,2,0,0,NO,
cmms_checklist_hist,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,4,InnoDB,utf8,utf8_unicode_ci,,7,,0,0,0,0,0,0,811,YES,
cmms_checklist_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,5,InnoDB,utf8,utf8_unicode_ci,,9,CHKL_ID,1,2,0,1,1,3,928,YES,
cmms_checklist_tasks,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,6,InnoDB,utf8,utf8_unicode_ci,,2,CLTSK_ID;CLTSK_TASKID,2,2,0,1,2,0,7536,YES,
cmms_checklist_tasks_hist,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,7,InnoDB,utf8,utf8_unicode_ci,,4,,0,0,0,0,0,0,8450,YES,
cmms_cont_mst,Vendor / Manufacturer,ACTIVE_SUPPORT_MASTER,Review bucket,Manually inspect before assigning to a module.,8,InnoDB,utf8,utf8_unicode_ci,Cluster 3: vendor/manufacturer master (was missing from legacy dump),23,CMM_CONT_ID,1,5,1,3,0,6,540,YES,
cmms_designation_mst,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",9,InnoDB,utf8,utf8_unicode_ci,,8,DG_ID,1,1,0,0,0,0,40,YES,
cmms_desig_hist,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",10,InnoDB,utf8,utf8_unicode_ci,,3,EMM_ID;EMM_DESIGNATION;EMM_DATE,3,1,0,0,1,0,132,YES,
cmms_device_spares_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,11,InnoDB,utf8,utf8_unicode_ci,,8,DS_ID,1,1,0,0,0,2,67,YES,
cmms_division_hist,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",12,InnoDB,utf8,utf8_unicode_ci,,7,,0,1,0,1,1,0,3676,YES,
cmms_documentno_mst,Other / Cross-cutting,REVIEW_REQUIRED,Review bucket,Manually inspect before assigning to a module.,13,InnoDB,utf8,utf8_unicode_ci,,6,DocumentType;DocumentYear,2,1,0,0,0,0,151,YES,
cmms_emp_mst,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",14,InnoDB,utf8,utf8_unicode_ci,,30,EMM_ID,1,4,0,3,2,6,60,YES,
