table_name,ordinal_position,column_name,data_type_raw,base_type,length_precision,nullable,default_value,auto_increment,enum_values_count,enum_values,comment,raw_definition,column_role_guess,module_guess,is_primary_key,is_foreign_key,fk_constraint_name
audit_log,1,audit_id,bigint(20) UNSIGNED,bigint,20,NO,,NO,0,,,bigint(20) UNSIGNED NOT NULL,id,Audit / Security,YES,NO,
audit_log,2,actor_employee_id,varchar(20),varchar,20,NO,,NO,0,,,varchar(20) NOT NULL,id,Audit / Security,NO,NO,
audit_log,3,actor_role_code,varchar(30),varchar,30,YES,NULL,NO,0,,,varchar(30) DEFAULT NULL,,Audit / Security,NO,NO,
audit_log,4,action,varchar(60),varchar,60,NO,,NO,0,,,varchar(60) NOT NULL,,Audit / Security,NO,NO,
audit_log,5,entity_type,varchar(40),varchar,40,NO,,NO,0,,,varchar(40) NOT NULL,,Audit / Security,NO,NO,
audit_log,6,entity_id,varchar(50),varchar,50,NO,,NO,0,,,varchar(50) NOT NULL,id,Audit / Security,NO,NO,
audit_log,7,occurred_at,datetime(6),datetime,6,NO,current_timestamp(6),NO,0,,,datetime(6) NOT NULL DEFAULT current_timestamp(6),audit_date,Audit / Security,NO,NO,
audit_log,8,ip_address,varchar(45),varchar,45,YES,NULL,NO,0,,,varchar(45) DEFAULT NULL,,Audit / Security,NO,NO,
audit_log,9,user_agent,varchar(500),varchar,500,YES,NULL,NO,0,,,varchar(500) DEFAULT NULL,,Audit / Security,NO,NO,
audit_log,10,request_id,varchar(40),varchar,40,YES,NULL,NO,0,,,varchar(40) DEFAULT NULL,id,Audit / Security,NO,NO,
audit_log,11,notes,varchar(500),varchar,500,YES,NULL,NO,0,,,varchar(500) DEFAULT NULL,,Audit / Security,NO,NO,
audit_log_changes,1,change_id,bigint(20) UNSIGNED,bigint,20,NO,,NO,0,,,bigint(20) UNSIGNED NOT NULL,id,Audit / Security,YES,NO,
audit_log_changes,2,audit_id,bigint(20) UNSIGNED,bigint,20,NO,,NO,0,,,bigint(20) UNSIGNED NOT NULL,id,Audit / Security,NO,YES,fk_alc_audit
audit_log_changes,3,field_name,varchar(80),varchar,80,NO,,NO,0,,,varchar(80) NOT NULL,,Audit / Security,NO,NO,
audit_log_changes,4,before_value,text,text,,YES,NULL,NO,0,,,text DEFAULT NULL,long_text,Audit / Security,NO,NO,
audit_log_changes,5,after_value,text,text,,YES,NULL,NO,0,,,text DEFAULT NULL,long_text,Audit / Security,NO,NO,
cmms_amc_mst,1,AMC_ID,int(11),int,11,NO,,NO,0,,,int(11) NOT NULL,id,Procurement / AMC / Inventory,YES,NO,
cmms_amc_mst,2,AMC_DATE,datetime,datetime,,NO,,NO,0,,,datetime NOT NULL,audit_date,Procurement / AMC / Inventory,NO,NO,
cmms_amc_mst,3,AMC_VENDERID,int(11),int,11,NO,,NO,0,,,int(11) NOT NULL,id,Procurement / AMC / Inventory,NO,YES,FK_CMMS_AMC_MST_CMMS_CONT_MST
cmms_amc_mst,4,AMC_BUDGET_ID,varchar(15),varchar,15,YES,NULL,NO,0,,,varchar(15) DEFAULT NULL,id,Procurement / AMC / Inventory,NO,YES,FK_CMMS_AMC_MST_CMMS_BUDGET_MST
cmms_amc_mst,5,AMC_COST,bigint(20),bigint,20,NO,,NO,0,,,bigint(20) NOT NULL,,Procurement / AMC / Inventory,NO,NO,
cmms_amc_mst,6,AMC_STARTDATE,datetime,datetime,,NO,,NO,0,,,datetime NOT NULL,audit_date,Procurement / AMC / Inventory,NO,NO,
cmms_amc_mst,7,AMC_ENDDATE,datetime,datetime,,NO,,NO,0,,,datetime NOT NULL,audit_date,Procurement / AMC / Inventory,NO,NO,
cmms_amc_mst,8,CREATED_BY,varchar(7),varchar,7,NO,,NO,0,,,varchar(7) NOT NULL,audit_date,Procurement / AMC / Inventory,NO,NO,
cmms_amc_mst,9,CREATED_ON,datetime,datetime,,NO,,NO,0,,,datetime NOT NULL,audit_date,Procurement / AMC / Inventory,NO,NO,
cmms_amc_mst,10,UPDATED_BY,bigint(20),bigint,20,YES,NULL,NO,0,,,bigint(20) DEFAULT NULL,audit_date,Procurement / AMC / Inventory,NO,NO,
cmms_amc_mst,11,UPDATED_ON,varchar(7),varchar,7,NO,,NO,0,,,varchar(7) NOT NULL,audit_date,Procurement / AMC / Inventory,NO,NO,
cmms_checklist_hist,1,CHKL_ID,int(11),int,11,NO,,NO,0,,,int(11) NOT NULL,id,Master Data / Lookup,NO,NO,
cmms_checklist_hist,2,CHKL_TYPE,varchar(50),varchar,50,NO,,NO,0,,,varchar(50) NOT NULL,,Master Data / Lookup,NO,NO,
cmms_checklist_hist,3,CHKL_MAKE,int(11),int,11,NO,,NO,0,,,int(11) NOT NULL,,Master Data / Lookup,NO,NO,
cmms_checklist_hist,4,CHKL_MODEL,varchar(50),varchar,50,NO,,NO,0,,,varchar(50) NOT NULL,,Master Data / Lookup,NO,NO,
cmms_checklist_hist,5,CHKL_STATE,tinyint(1),tinyint,1,NO,,NO,0,,,tinyint(1) NOT NULL,,Master Data / Lookup,NO,NO,
cmms_checklist_hist,6,CHKL_UPDATED_BY,varchar(7),varchar,7,NO,,NO,0,,,varchar(7) NOT NULL,audit_date,Master Data / Lookup,NO,NO,
