table_name,index_name,index_type,columns,non_unique,raw_definition,module_guess
audit_log,PRIMARY,PRIMARY,audit_id,NO,ADD PRIMARY KEY (`audit_id`),Audit / Security
audit_log,idx_al_entity,INDEX,entity_type|entity_id|occurred_at,YES,"ADD KEY `idx_al_entity` (`entity_type`,`entity_id`,`occurred_at`)",Audit / Security
audit_log,idx_al_actor,INDEX,actor_employee_id|occurred_at,YES,"ADD KEY `idx_al_actor` (`actor_employee_id`,`occurred_at`)",Audit / Security
audit_log,idx_al_action,INDEX,action|occurred_at,YES,"ADD KEY `idx_al_action` (`action`,`occurred_at`)",Audit / Security
audit_log,idx_al_time,INDEX,occurred_at,YES,ADD KEY `idx_al_time` (`occurred_at`),Audit / Security
audit_log_changes,PRIMARY,PRIMARY,change_id,NO,ADD PRIMARY KEY (`change_id`),Audit / Security
audit_log_changes,idx_alc_audit,INDEX,audit_id,YES,ADD KEY `idx_alc_audit` (`audit_id`),Audit / Security
cmms_amc_mst,PRIMARY,PRIMARY,AMC_ID,NO,ADD PRIMARY KEY (`AMC_ID`),Procurement / AMC / Inventory
cmms_amc_mst,FK_CMMS_AMC_MST_CMMS_BUDGET_MST,INDEX,AMC_BUDGET_ID,YES,ADD KEY `FK_CMMS_AMC_MST_CMMS_BUDGET_MST` (`AMC_BUDGET_ID`),Procurement / AMC / Inventory
cmms_amc_mst,FK_CMMS_AMC_MST_CMMS_CONT_MST,INDEX,AMC_VENDERID,YES,ADD KEY `FK_CMMS_AMC_MST_CMMS_CONT_MST` (`AMC_VENDERID`),Procurement / AMC / Inventory
cmms_checklist_mst,PRIMARY,PRIMARY,CHKL_ID,NO,ADD PRIMARY KEY (`CHKL_ID`),Master Data / Lookup
cmms_checklist_mst,FK_CMMS_CHECKLIST_MST_CMMS_CONT_MST,INDEX,CHKL_MAKE,YES,ADD KEY `FK_CMMS_CHECKLIST_MST_CMMS_CONT_MST` (`CHKL_MAKE`),Master Data / Lookup
cmms_checklist_tasks,PRIMARY,PRIMARY,CLTSK_ID|CLTSK_TASKID,NO,"ADD PRIMARY KEY (`CLTSK_ID`,`CLTSK_TASKID`)",Master Data / Lookup
cmms_checklist_tasks,FK_CMMS_CHECKLIST_TASKS_CMMS_TASK_MST,INDEX,CLTSK_TASKID,YES,ADD KEY `FK_CMMS_CHECKLIST_TASKS_CMMS_TASK_MST` (`CLTSK_TASKID`),Master Data / Lookup
cmms_cont_mst,PRIMARY,PRIMARY,CMM_CONT_ID,NO,ADD PRIMARY KEY (`CMM_CONT_ID`),Vendor / Manufacturer
cmms_cont_mst,uk_cont_name,UNIQUE,CMM_CONT_NAME,NO,ADD UNIQUE KEY `uk_cont_name` (`CMM_CONT_NAME`),Vendor / Manufacturer
cmms_cont_mst,idx_cont_type,INDEX,CMM_CONT_TYPE,YES,ADD KEY `idx_cont_type` (`CMM_CONT_TYPE`),Vendor / Manufacturer
cmms_cont_mst,idx_cont_active,INDEX,CMM_CONT_STATE_FLAG,YES,ADD KEY `idx_cont_active` (`CMM_CONT_STATE_FLAG`),Vendor / Manufacturer
cmms_cont_mst,idx_cont_name_search,INDEX,CMM_CONT_NAME,YES,ADD KEY `idx_cont_name_search` (`CMM_CONT_NAME`(50)),Vendor / Manufacturer
cmms_designation_mst,PRIMARY,PRIMARY,DG_ID,NO,ADD PRIMARY KEY (`DG_ID`),Organization / Employee
cmms_desig_hist,PRIMARY,PRIMARY,EMM_ID|EMM_DESIGNATION|EMM_DATE,NO,"ADD PRIMARY KEY (`EMM_ID`,`EMM_DESIGNATION`,`EMM_DATE`)",Organization / Employee
cmms_device_spares_mst,PRIMARY,PRIMARY,DS_ID,NO,ADD PRIMARY KEY (`DS_ID`),Master Data / Lookup
cmms_division_hist,FK_CMMS_DIVISION_HIST_CMMS_EQIP_MST,INDEX,EQD_EQM_TYPE|EQD_EQM_ID,YES,"ADD KEY `FK_CMMS_DIVISION_HIST_CMMS_EQIP_MST` (`EQD_EQM_TYPE`,`EQD_EQM_ID`)",Organization / Employee
cmms_documentno_mst,PRIMARY,PRIMARY,DocumentType|DocumentYear,NO,"ADD PRIMARY KEY (`DocumentType`,`DocumentYear`)",Other / Cross-cutting
