table_name,constraint_name,columns,referenced_table,referenced_columns,on_delete,on_update,raw_definition,source_module,target_module
audit_log_changes,fk_alc_audit,audit_id,audit_log,audit_id,CASCADE,,ADD CONSTRAINT `fk_alc_audit` FOREIGN KEY (`audit_id`) REFERENCES `audit_log` (`audit_id`) ON DELETE CASCADE,Audit / Security,Audit / Security
cmms_amc_mst,FK_CMMS_AMC_MST_CMMS_BUDGET_MST,AMC_BUDGET_ID,cmms_lineitem_mst,LITM_ID,,,ADD CONSTRAINT `FK_CMMS_AMC_MST_CMMS_BUDGET_MST` FOREIGN KEY (`AMC_BUDGET_ID`) REFERENCES `cmms_lineitem_mst` (`LITM_ID`),Procurement / AMC / Inventory,Master Data / Lookup
cmms_amc_mst,FK_CMMS_AMC_MST_CMMS_CONT_MST,AMC_VENDERID,cmms_cont_mst,CMM_CONT_ID,,,ADD CONSTRAINT `FK_CMMS_AMC_MST_CMMS_CONT_MST` FOREIGN KEY (`AMC_VENDERID`) REFERENCES `cmms_cont_mst` (`CMM_CONT_ID`),Procurement / AMC / Inventory,Vendor / Manufacturer
cmms_checklist_mst,FK_CMMS_CHECKLIST_MST_CMMS_CONT_MST,CHKL_MAKE,cmms_cont_mst,CMM_CONT_ID,,,ADD CONSTRAINT `FK_CMMS_CHECKLIST_MST_CMMS_CONT_MST` FOREIGN KEY (`CHKL_MAKE`) REFERENCES `cmms_cont_mst` (`CMM_CONT_ID`),Master Data / Lookup,Vendor / Manufacturer
cmms_checklist_tasks,FK_CMMS_CHECKLIST_TASKS_CMMS_CHECKLIST_MST,CLTSK_ID,cmms_checklist_mst,CHKL_ID,,,ADD CONSTRAINT `FK_CMMS_CHECKLIST_TASKS_CMMS_CHECKLIST_MST` FOREIGN KEY (`CLTSK_ID`) REFERENCES `cmms_checklist_mst` (`CHKL_ID`),Master Data / Lookup,Master Data / Lookup
cmms_checklist_tasks,FK_CMMS_CHECKLIST_TASKS_CMMS_TASK_MST,CLTSK_TASKID,cmms_task_mst,TSK_ID,,,ADD CONSTRAINT `FK_CMMS_CHECKLIST_TASKS_CMMS_TASK_MST` FOREIGN KEY (`CLTSK_TASKID`) REFERENCES `cmms_task_mst` (`TSK_ID`),Master Data / Lookup,Master Data / Lookup
cmms_desig_hist,FK_CMMS_DESIG_HIST_CMMS_EMP_MST,EMM_ID,cmms_emp_mst,EMM_ID,,,ADD CONSTRAINT `FK_CMMS_DESIG_HIST_CMMS_EMP_MST` FOREIGN KEY (`EMM_ID`) REFERENCES `cmms_emp_mst` (`EMM_ID`),Organization / Employee,Organization / Employee
cmms_division_hist,FK_CMMS_DIVISION_HIST_CMMS_EQIP_MST,EQD_EQM_TYPE|EQD_EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_DIVISION_HIST_CMMS_EQIP_MST` FOREIGN KEY (`EQD_EQM_TYPE`,`EQD_EQM_ID`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Organization / Employee,Equipment / Instruments
cmms_emp_mst,FK_CMMS_EMP_MST_CMMS_ROLE_MST,EMM_ROLE,_legacy_role_mst,ROLE_ID,,,ADD CONSTRAINT `FK_CMMS_EMP_MST_CMMS_ROLE_MST` FOREIGN KEY (`EMM_ROLE`) REFERENCES `_legacy_role_mst` (`ROLE_ID`),Organization / Employee,Legacy / Isolated
cmms_emp_mst,FK_CMMS_EMP_MST_CMMS_SECTION_MST,EMM_DEPT,cmms_section_mst,SM_ID,,,ADD CONSTRAINT `FK_CMMS_EMP_MST_CMMS_SECTION_MST` FOREIGN KEY (`EMM_DEPT`) REFERENCES `cmms_section_mst` (`SM_ID`),Organization / Employee,Organization / Employee
cmms_eqipinst_identification,FK_CMMS_EQIPINST_IDENTIFICATION_CMMS_EQIP_MST,EMD_EQIP_TYPE|EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_EQIPINST_IDENTIFICATION_CMMS_EQIP_MST` FOREIGN KEY (`EMD_EQIP_TYPE`,`EQM_ID`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Equipment / Instruments,Equipment / Instruments
cmms_eqip_detail_spec,FK_CMMS_EQIP_DETAIL_SPEC_CMMS_EQIP_MST,EDS_EQIP_TYPE|EDS_EQIP_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_EQIP_DETAIL_SPEC_CMMS_EQIP_MST` FOREIGN KEY (`EDS_EQIP_TYPE`,`EDS_EQIP_ID`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Equipment / Instruments,Equipment / Instruments
cmms_eqip_mst,FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST,EQM_PMCHKLSTNO,cmms_checklist_mst,CHKL_ID,,,ADD CONSTRAINT `FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST` FOREIGN KEY (`EQM_PMCHKLSTNO`) REFERENCES `cmms_checklist_mst` (`CHKL_ID`),Equipment / Instruments,Master Data / Lookup
cmms_eqip_mst,FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST1,EQM_CALCHKLSTNO,cmms_checklist_mst,CHKL_ID,,,ADD CONSTRAINT `FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST1` FOREIGN KEY (`EQM_CALCHKLSTNO`) REFERENCES `cmms_checklist_mst` (`CHKL_ID`),Equipment / Instruments,Master Data / Lookup
cmms_eqip_mst,FK_CMMS_EQIP_MST_CMMS_CONT_MST,EQM_MFRID,cmms_cont_mst,CMM_CONT_ID,,,ADD CONSTRAINT `FK_CMMS_EQIP_MST_CMMS_CONT_MST` FOREIGN KEY (`EQM_MFRID`) REFERENCES `cmms_cont_mst` (`CMM_CONT_ID`),Equipment / Instruments,Vendor / Manufacturer
cmms_eqip_mst,FK_CMMS_EQIP_MST_CMMS_PRODUCT_MST,EQM_INST_TYPE,cmms_product_mst,PROD_ID,,,ADD CONSTRAINT `FK_CMMS_EQIP_MST_CMMS_PRODUCT_MST` FOREIGN KEY (`EQM_INST_TYPE`) REFERENCES `cmms_product_mst` (`PROD_ID`),Equipment / Instruments,Master Data / Lookup
cmms_eqip_mst,FK_CMMS_EQIP_MST_CMMS_SECTION_MST,EQM_DIVID,cmms_section_mst,SM_ID,,,ADD CONSTRAINT `FK_CMMS_EQIP_MST_CMMS_SECTION_MST` FOREIGN KEY (`EQM_DIVID`) REFERENCES `cmms_section_mst` (`SM_ID`),Equipment / Instruments,Organization / Employee
cmms_eqip_mst,fk_eqip_section_new,EQM_SECTION_ID,sections,section_id,,,ADD CONSTRAINT `fk_eqip_section_new` FOREIGN KEY (`EQM_SECTION_ID`) REFERENCES `sections` (`section_id`),Equipment / Instruments,Organization / Employee
cmms_eqip_tec_spec,FK_CMMS_EQIP_TEC_SPEC_CMMS_EQIP_MST,EMD_EQIP_TYPE|EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_EQIP_TEC_SPEC_CMMS_EQIP_MST` FOREIGN KEY (`EMD_EQIP_TYPE`,`EQM_ID`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Equipment / Instruments,Equipment / Instruments
cmms_ins_accuracy_info,FK_CMMS_INS_ACCURACY_INFO_CMMS_EQIP_MST,EIA_TYPE|EIA_INS_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_INS_ACCURACY_INFO_CMMS_EQIP_MST` FOREIGN KEY (`EIA_TYPE`,`EIA_INS_ID`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Equipment / Instruments,Equipment / Instruments
cmms_inv_eqip_dtl,FK_CMMS_INV_EQIP_DTL_CMMS_EQIP_MST,IND_EQM_TYPE|IVD_EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_INV_EQIP_DTL_CMMS_EQIP_MST` FOREIGN KEY (`IND_EQM_TYPE`,`IVD_EQM_ID`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Equipment / Instruments,Equipment / Instruments
cmms_inv_eqip_dtl,FK_CMMS_INV_EQIP_DTL_CMMS_INV_MST,IVD_PARTNO,cmms_inv_mst,INV_PARTNO,,,ADD CONSTRAINT `FK_CMMS_INV_EQIP_DTL_CMMS_INV_MST` FOREIGN KEY (`IVD_PARTNO`) REFERENCES `cmms_inv_mst` (`INV_PARTNO`),Equipment / Instruments,Procurement / AMC / Inventory
cmms_inv_mst,FK_CMMS_INV_MST_CMMS_CONT_MST,INV_MCODE,cmms_cont_mst,CMM_CONT_ID,,,ADD CONSTRAINT `FK_CMMS_INV_MST_CMMS_CONT_MST` FOREIGN KEY (`INV_MCODE`) REFERENCES `cmms_cont_mst` (`CMM_CONT_ID`),Procurement / AMC / Inventory,Vendor / Manufacturer
cmms_inv_mst,FK_CMMS_INV_MST_CMMS_DEVICE_SPARES_MST,INV_INTLSPARESID,cmms_device_spares_mst,DS_ID,,,ADD CONSTRAINT `FK_CMMS_INV_MST_CMMS_DEVICE_SPARES_MST` FOREIGN KEY (`INV_INTLSPARESID`) REFERENCES `cmms_device_spares_mst` (`DS_ID`),Procurement / AMC / Inventory,Master Data / Lookup
cmms_jobcard_attendedby_dtl,FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_EMP_MST,JMA_USERID,cmms_emp_mst,EMM_ID,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_EMP_MST` FOREIGN KEY (`JMA_USERID`) REFERENCES `cmms_emp_mst` (`EMM_ID`),Job Cards,Organization / Employee
cmms_jobcard_attendedby_dtl,FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_JOBCARD_MST,JMA_SECTIONJOBNO,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_JOBCARD_MST` FOREIGN KEY (`JMA_SECTIONJOBNO`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_awaitinginfo,FK_CMMS_JOBCARD_AWAITINGINFO_CMMS_JOBCARD_MST,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_AWAITINGINFO_CMMS_JOBCARD_MST` FOREIGN KEY (`JobcardNumber`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_cal_adjustments_dtl,FK_CMMS_JOBCARD_CAL_ADJUSTMENTS_DTL_CMMS_JOBCARD_MST,JCAD_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_CAL_ADJUSTMENTS_DTL_CMMS_JOBCARD_MST` FOREIGN KEY (`JCAD_JobCardNo`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_cal_dtl,FK_CMMS_JOBCARD_CAL_DTL_CMMS_JOBCARD_MST,JCD_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_CAL_DTL_CMMS_JOBCARD_MST` FOREIGN KEY (`JCD_JobCardNo`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_cal_observations,FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_JOBCARD_MST,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_JOBCARD_MST` FOREIGN KEY (`JobcardNumber`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_cal_observations,FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_TASK_MST,TaskID,cmms_task_mst,TSK_ID,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_CAL_OBSERVATIONS_CMMS_TASK_MST` FOREIGN KEY (`TaskID`) REFERENCES `cmms_task_mst` (`TSK_ID`),Job Cards,Master Data / Lookup
cmms_jobcard_contract_warranty_dtl,FK_CMMS_JOBCARD_CONTRACT_WARRANTY_DTL_CMMS_JOBCARD_MST,CWD_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_CONTRACT_WARRANTY_DTL_CMMS_JOBCARD_MST` FOREIGN KEY (`CWD_JobCardNo`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_eq_used,FK_CMMS_JOBCARD_EQ_USED_CMMS_EQIP_MST,JEU_EquipType|JEU_EquipId,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_JOBCARD_EQ_USED_CMMS_EQIP_MST` FOREIGN KEY (`JEU_EquipType`,`JEU_EquipId`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Job Cards,Equipment / Instruments
cmms_jobcard_eq_used,FK_CMMS_JOBCARD_EQ_USED_CMMS_JOBCARD_MST,JEU_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_EQ_USED_CMMS_JOBCARD_MST` FOREIGN KEY (`JEU_JobCardNo`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_faulty_category,FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_FAULT_MST,FaultyCategory|FaultyType,cmms_fault_mst,FM_FAULT_ID|FM_TYPE,,,"ADD CONSTRAINT `FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_FAULT_MST` FOREIGN KEY (`FaultyCategory`,`FaultyType`) REFERENCES `cmms_fault_mst` (`FM_FAULT_ID`, `FM_TYPE`)",Job Cards,Job Cards
cmms_jobcard_faulty_category,FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_JOBCARD_MST,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_FAULTY_CATEGORY_CMMS_JOBCARD_MST` FOREIGN KEY (`JobcardNumber`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_faulty_section,FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_FAULT_MST,FaultySection|FaultyType,cmms_fault_mst,FM_FAULT_ID|FM_TYPE,,,"ADD CONSTRAINT `FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_FAULT_MST` FOREIGN KEY (`FaultySection`,`FaultyType`) REFERENCES `cmms_fault_mst` (`FM_FAULT_ID`, `FM_TYPE`)",Job Cards,Job Cards
cmms_jobcard_faulty_section,FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_JOBCARD_MST,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_FAULTY_SECTION_CMMS_JOBCARD_MST` FOREIGN KEY (`JobcardNumber`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_inspection_info,FK_CMMS_JOBCARD_INSPECTION_INFO_CMMS_JOBCARD_MST,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_INSPECTION_INFO_CMMS_JOBCARD_MST` FOREIGN KEY (`JobcardNumber`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_mst,FK_CMMS_JOBCARD_MST_CMMS_EQIP_MST,JM_EQM_TYPE|JM_EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_JOBCARD_MST_CMMS_EQIP_MST` FOREIGN KEY (`JM_EQM_TYPE`,`JM_EQM_ID`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Job Cards,Equipment / Instruments
cmms_jobcard_repair_info,FK_CMMS_JOBCARD_REPAIR_INFO_CMMS_JOBCARD_MST,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_REPAIR_INFO_CMMS_JOBCARD_MST` FOREIGN KEY (`JobcardNumber`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_request_info,FK_CMMS_JOBCARD_REQUEST_INFO_CMMS_JOBCARD_MST,JRI_JobCardNo,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_REQUEST_INFO_CMMS_JOBCARD_MST` FOREIGN KEY (`JRI_JobCardNo`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_request_item_dtl,FK_CMMS_JOBCARD_REQUEST_ITEM_DTL_CMMS_JOBCARD_MST,JR_SECTIONJOBNO,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_REQUEST_ITEM_DTL_CMMS_JOBCARD_MST` FOREIGN KEY (`JR_SECTIONJOBNO`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_spares_equip,FK_CMMS_JOBCARD_SPARES_EQUIP_CMMS_JOBCARD_MST,JobcardNumber,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_SPARES_EQUIP_CMMS_JOBCARD_MST` FOREIGN KEY (`JobcardNumber`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobcard_status_hist,FK_CMMS_JOBCARD_STATUS_HIST_CMMS_JOBCARD_MST,JH_SectionJobNo,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBCARD_STATUS_HIST_CMMS_JOBCARD_MST` FOREIGN KEY (`JH_SectionJobNo`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Cards,Job Cards
cmms_jobrequest_item_dtl,FK_CMMS_JOBREQUEST_ITEM_DTL_CMMS_JOBREQUEST_MST,JR_JOBREQUESTNO,cmms_jobrequest_mst,JR_JOBREQUESTNO,,,ADD CONSTRAINT `FK_CMMS_JOBREQUEST_ITEM_DTL_CMMS_JOBREQUEST_MST` FOREIGN KEY (`JR_JOBREQUESTNO`) REFERENCES `cmms_jobrequest_mst` (`JR_JOBREQUESTNO`),Job Requests,Job Requests
cmms_jobrequest_mst,FK_CMMS_JOBREQUEST_MST_CMMS_EQIP_MST,JR_EQM_TYPE|JR_EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,,,"ADD CONSTRAINT `FK_CMMS_JOBREQUEST_MST_CMMS_EQIP_MST` FOREIGN KEY (`JR_EQM_TYPE`,`JR_EQM_ID`) REFERENCES `cmms_eqip_mst` (`EQM_TYPE`, `EQM_ID`)",Job Requests,Equipment / Instruments
cmms_jobrequest_mst,FK_CMMS_JOBREQUEST_MST_CMMS_JOBCARD_MST,JR_SECTIONJOB_NO,cmms_jobcard_mst,JM_SectionJobNo,,,ADD CONSTRAINT `FK_CMMS_JOBREQUEST_MST_CMMS_JOBCARD_MST` FOREIGN KEY (`JR_SECTIONJOB_NO`) REFERENCES `cmms_jobcard_mst` (`JM_SectionJobNo`),Job Requests,Job Cards
cmms_jobrequest_mst,FK_CMMS_JOBREQUEST_MST_CMMS_PRODUCT_MST,JR_INST_TYPE,cmms_product_mst,PROD_ID,,,ADD CONSTRAINT `FK_CMMS_JOBREQUEST_MST_CMMS_PRODUCT_MST` FOREIGN KEY (`JR_INST_TYPE`) REFERENCES `cmms_product_mst` (`PROD_ID`),Job Requests,Master Data / Lookup
cmms_jobrequest_mst,FK_CMMS_JOBREQUEST_MST_CMMS_SECTION_MST,JR_DIVISION,cmms_section_mst,SM_ID,,,ADD CONSTRAINT `FK_CMMS_JOBREQUEST_MST_CMMS_SECTION_MST` FOREIGN KEY (`JR_DIVISION`) REFERENCES `cmms_section_mst` (`SM_ID`),Job Requests,Organization / Employee
cmms_jobrequest_project_dtl,FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_JOBREQUEST_MST,JR_JOBREQUESTNO,cmms_jobrequest_mst,JR_JOBREQUESTNO,,,ADD CONSTRAINT `FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_JOBREQUEST_MST` FOREIGN KEY (`JR_JOBREQUESTNO`) REFERENCES `cmms_jobrequest_mst` (`JR_JOBREQUESTNO`),Job Requests,Job Requests
cmms_jobrequest_project_dtl,FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_PROJ_MST,JR_PROJECTID,cmms_proj_mst,PR_ID,,,ADD CONSTRAINT `FK_CMMS_JOBREQUEST_PROJECTDTL_CMMS_PROJ_MST` FOREIGN KEY (`JR_PROJECTID`) REFERENCES `cmms_proj_mst` (`PR_ID`),Job Requests,Master Data / Lookup
cmms_po_item_dtl,FK_CMMS_PO_ITEM_DTL_CMMS_DEVICE_SPARES_MST,POI_ITEM_TYPE,cmms_device_spares_mst,DS_ID,,,ADD CONSTRAINT `FK_CMMS_PO_ITEM_DTL_CMMS_DEVICE_SPARES_MST` FOREIGN KEY (`POI_ITEM_TYPE`) REFERENCES `cmms_device_spares_mst` (`DS_ID`),Procurement / AMC / Inventory,Master Data / Lookup
cmms_po_item_dtl,FK_CMMS_PO_ITEM_DTL_CMMS_PO_MST,POI_ID,cmms_po_mst,PO_ID,,,ADD CONSTRAINT `FK_CMMS_PO_ITEM_DTL_CMMS_PO_MST` FOREIGN KEY (`POI_ID`) REFERENCES `cmms_po_mst` (`PO_ID`),Procurement / AMC / Inventory,Procurement / AMC / Inventory
cmms_po_payment_dtl,FK_CMMS_PO_PAYMENT_DTL_CMMS_PO_MST,POP_ID,cmms_po_mst,PO_ID,,,ADD CONSTRAINT `FK_CMMS_PO_PAYMENT_DTL_CMMS_PO_MST` FOREIGN KEY (`POP_ID`) REFERENCES `cmms_po_mst` (`PO_ID`),Procurement / AMC / Inventory,Procurement / AMC / Inventory
