source_table,source_columns,target_table,target_columns,constraint_name,source_module,target_module,relationship_label
audit_log_changes,audit_id,audit_log,audit_id,fk_alc_audit,Audit / Security,Audit / Security,audit_log_changes -> audit_log
cmms_amc_mst,AMC_BUDGET_ID,cmms_lineitem_mst,LITM_ID,FK_CMMS_AMC_MST_CMMS_BUDGET_MST,Procurement / AMC / Inventory,Master Data / Lookup,cmms_amc_mst -> cmms_lineitem_mst
cmms_amc_mst,AMC_VENDERID,cmms_cont_mst,CMM_CONT_ID,FK_CMMS_AMC_MST_CMMS_CONT_MST,Procurement / AMC / Inventory,Vendor / Manufacturer,cmms_amc_mst -> cmms_cont_mst
cmms_checklist_mst,CHKL_MAKE,cmms_cont_mst,CMM_CONT_ID,FK_CMMS_CHECKLIST_MST_CMMS_CONT_MST,Master Data / Lookup,Vendor / Manufacturer,cmms_checklist_mst -> cmms_cont_mst
cmms_checklist_tasks,CLTSK_ID,cmms_checklist_mst,CHKL_ID,FK_CMMS_CHECKLIST_TASKS_CMMS_CHECKLIST_MST,Master Data / Lookup,Master Data / Lookup,cmms_checklist_tasks -> cmms_checklist_mst
cmms_checklist_tasks,CLTSK_TASKID,cmms_task_mst,TSK_ID,FK_CMMS_CHECKLIST_TASKS_CMMS_TASK_MST,Master Data / Lookup,Master Data / Lookup,cmms_checklist_tasks -> cmms_task_mst
cmms_desig_hist,EMM_ID,cmms_emp_mst,EMM_ID,FK_CMMS_DESIG_HIST_CMMS_EMP_MST,Organization / Employee,Organization / Employee,cmms_desig_hist -> cmms_emp_mst
cmms_division_hist,EQD_EQM_TYPE|EQD_EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,FK_CMMS_DIVISION_HIST_CMMS_EQIP_MST,Organization / Employee,Equipment / Instruments,cmms_division_hist -> cmms_eqip_mst
cmms_emp_mst,EMM_ROLE,_legacy_role_mst,ROLE_ID,FK_CMMS_EMP_MST_CMMS_ROLE_MST,Organization / Employee,Legacy / Isolated,cmms_emp_mst -> _legacy_role_mst
cmms_emp_mst,EMM_DEPT,cmms_section_mst,SM_ID,FK_CMMS_EMP_MST_CMMS_SECTION_MST,Organization / Employee,Organization / Employee,cmms_emp_mst -> cmms_section_mst
cmms_eqipinst_identification,EMD_EQIP_TYPE|EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,FK_CMMS_EQIPINST_IDENTIFICATION_CMMS_EQIP_MST,Equipment / Instruments,Equipment / Instruments,cmms_eqipinst_identification -> cmms_eqip_mst
cmms_eqip_detail_spec,EDS_EQIP_TYPE|EDS_EQIP_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,FK_CMMS_EQIP_DETAIL_SPEC_CMMS_EQIP_MST,Equipment / Instruments,Equipment / Instruments,cmms_eqip_detail_spec -> cmms_eqip_mst
cmms_eqip_mst,EQM_PMCHKLSTNO,cmms_checklist_mst,CHKL_ID,FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST,Equipment / Instruments,Master Data / Lookup,cmms_eqip_mst -> cmms_checklist_mst
cmms_eqip_mst,EQM_CALCHKLSTNO,cmms_checklist_mst,CHKL_ID,FK_CMMS_EQIP_MST_CMMS_CHECKLIST_MST1,Equipment / Instruments,Master Data / Lookup,cmms_eqip_mst -> cmms_checklist_mst
cmms_eqip_mst,EQM_MFRID,cmms_cont_mst,CMM_CONT_ID,FK_CMMS_EQIP_MST_CMMS_CONT_MST,Equipment / Instruments,Vendor / Manufacturer,cmms_eqip_mst -> cmms_cont_mst
cmms_eqip_mst,EQM_INST_TYPE,cmms_product_mst,PROD_ID,FK_CMMS_EQIP_MST_CMMS_PRODUCT_MST,Equipment / Instruments,Master Data / Lookup,cmms_eqip_mst -> cmms_product_mst
cmms_eqip_mst,EQM_DIVID,cmms_section_mst,SM_ID,FK_CMMS_EQIP_MST_CMMS_SECTION_MST,Equipment / Instruments,Organization / Employee,cmms_eqip_mst -> cmms_section_mst
cmms_eqip_mst,EQM_SECTION_ID,sections,section_id,fk_eqip_section_new,Equipment / Instruments,Organization / Employee,cmms_eqip_mst -> sections
cmms_eqip_tec_spec,EMD_EQIP_TYPE|EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,FK_CMMS_EQIP_TEC_SPEC_CMMS_EQIP_MST,Equipment / Instruments,Equipment / Instruments,cmms_eqip_tec_spec -> cmms_eqip_mst
cmms_ins_accuracy_info,EIA_TYPE|EIA_INS_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,FK_CMMS_INS_ACCURACY_INFO_CMMS_EQIP_MST,Equipment / Instruments,Equipment / Instruments,cmms_ins_accuracy_info -> cmms_eqip_mst
cmms_inv_eqip_dtl,IND_EQM_TYPE|IVD_EQM_ID,cmms_eqip_mst,EQM_TYPE|EQM_ID,FK_CMMS_INV_EQIP_DTL_CMMS_EQIP_MST,Equipment / Instruments,Equipment / Instruments,cmms_inv_eqip_dtl -> cmms_eqip_mst
cmms_inv_eqip_dtl,IVD_PARTNO,cmms_inv_mst,INV_PARTNO,FK_CMMS_INV_EQIP_DTL_CMMS_INV_MST,Equipment / Instruments,Procurement / AMC / Inventory,cmms_inv_eqip_dtl -> cmms_inv_mst
cmms_inv_mst,INV_MCODE,cmms_cont_mst,CMM_CONT_ID,FK_CMMS_INV_MST_CMMS_CONT_MST,Procurement / AMC / Inventory,Vendor / Manufacturer,cmms_inv_mst -> cmms_cont_mst
cmms_inv_mst,INV_INTLSPARESID,cmms_device_spares_mst,DS_ID,FK_CMMS_INV_MST_CMMS_DEVICE_SPARES_MST,Procurement / AMC / Inventory,Master Data / Lookup,cmms_inv_mst -> cmms_device_spares_mst
cmms_jobcard_attendedby_dtl,JMA_USERID,cmms_emp_mst,EMM_ID,FK_CMMS_JOBCARD_ATTENDEDBY_DTL_CMMS_EMP_MST,Job Cards,Organization / Employee,cmms_jobcard_attendedby_dtl -> cmms_emp_mst
