module,table_count,column_count,row_count_from_dump,fk_count,indexed_table_count,tables
Audit / Security,3,23,20,1,3,audit_log|audit_log_changes|export_audit
Auth & RBAC,7,51,387,7,7,login_audit|permissions|refresh_tokens|roles|role_permissions|users|user_roles
Equipment / Instruments,9,141,10354,17,9,cmms_eqipinst_identification|cmms_eqip_detail_spec|cmms_eqip_mst|cmms_eqip_mst_hist|cmms_eqip_tec_spec|cmms_ins_accuracy_info|cmms_inv_eqip_dtl|cmms_schedule_eqip_dtl|equipment_status_history
Job Cards,18,254,302946,21,18,cmms_fault_mst|cmms_jobcard_attendedby_dtl|cmms_jobcard_awaitinginfo|cmms_jobcard_cal_adjustments_dtl|cmms_jobcard_cal_dtl|cmms_jobcard_cal_observations|cmms_jobcard_contract_warranty_dtl|cmms_jobcard_eq_used|cmms_jobcard_faulty_category|cmms_jobcard_faulty_section|cmms_jobcard_inspection_info|cmms_jobcard_mst|cmms_jobcard_mst_history|cmms_jobcard_repair_info|cmms_jobcard_request_info|cmms_jobcard_request_item_dtl|cmms_jobcard_spares_equip|cmms_jobcard_status_hist
Job Requests,5,79,48911,10,5,cmms_jobrequest_item_dtl|cmms_jobrequest_mst|cmms_jobrequest_project_dtl|job_request_accessories|job_request_status_history
Legacy / Isolated,15,91,9328,6,6,_legacy_accessright_mst|_legacy_cal_jobcard_feedback_spec|_legacy_cf001|_legacy_cf002|_legacy_cf003|_legacy_cf004|_legacy_chklistvendor|_legacy_jobcard_insp_maint_dtl|_legacy_module_mst|_legacy_parameter_master_bkp|_legacy_parameter_master_incharge|_legacy_parameter_master_jun2016|_legacy_role_mst|_legacy_section_user_mst|_legacy_userrole_mst
Master Data / Lookup,10,78,19886,3,8,cmms_checklist_hist|cmms_checklist_mst|cmms_checklist_tasks|cmms_checklist_tasks_hist|cmms_device_spares_mst|cmms_lineitem_mst|cmms_parameter_master|cmms_product_mst|cmms_proj_mst|cmms_task_mst
Organization / Employee,7,83,4205,6,7,cmms_designation_mst|cmms_desig_hist|cmms_division_hist|cmms_emp_mst|cmms_section_mst|departments|sections
Other / Cross-cutting,4,20,898,0,3,cmms_documentno_mst|schema_migrations|sysdiagrams|tmpcaldtl
Procurement / AMC / Inventory,8,108,689,9,8,cmms_amc_mst|cmms_inv_mst|cmms_po_item_dtl|cmms_po_mst|cmms_po_payment_dtl|cmms_po_receive_dtl|cmms_pur_dtl|cmms_pur_mst
Scheduling / PM-CAL,1,8,6,1,1,cmms_schedule_mst
Vendor / Manufacturer,3,30,699,3,2,cmms_cont_mst|cmms_supplier_mfr|cmms_vendor_doc_spec
