table_name,module_guess,use_category,phase_mapping,recommended_action,row_count_from_dump,critical_for_next_phase
audit_log,Audit / Security,ACTIVE_CORE_SECURITY,Phase 3/4/6 cross-cutting,Write in same transaction for state changes; never optional.,20,YES
audit_log_changes,Audit / Security,ACTIVE_CORE_SECURITY,Phase 3/4/6 cross-cutting,Write in same transaction for state changes; never optional.,0,YES
cmms_amc_mst,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,0,NO
cmms_checklist_hist,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,811,NO
cmms_checklist_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,928,NO
cmms_checklist_tasks,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,7536,NO
cmms_checklist_tasks_hist,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,8450,NO
cmms_cont_mst,Vendor / Manufacturer,ACTIVE_SUPPORT_MASTER,Review bucket,Manually inspect before assigning to a module.,540,NO
cmms_designation_mst,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",40,NO
cmms_desig_hist,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",132,NO
cmms_device_spares_mst,Master Data / Lookup,ACTIVE_SUPPORT_MASTER,Support + Admin future,Read in MVP; Super Admin CRUD later.,67,NO
cmms_division_hist,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",3676,NO
cmms_documentno_mst,Other / Cross-cutting,REVIEW_REQUIRED,Review bucket,Manually inspect before assigning to a module.,151,NO
cmms_emp_mst,Organization / Employee,ACTIVE_SUPPORT_MASTER,Support foundation,"Use for user display, sections/divisions, engineer assignment dropdowns.",60,NO
cmms_eqipinst_identification,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,2286,YES
cmms_eqip_detail_spec,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,3,YES
cmms_eqip_mst,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,5705,YES
cmms_eqip_mst_hist,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,519,YES
cmms_eqip_tec_spec,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,0,YES
cmms_fault_mst,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",30,YES
cmms_ins_accuracy_info,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,1501,YES
cmms_inv_eqip_dtl,Equipment / Instruments,ACTIVE_MVP_CORE,Phase 5 sealed + Phase 6 dependency,Use as asset source of truth; only controlled back-write from Job Card close.,24,YES
cmms_inv_mst,Procurement / AMC / Inventory,FUTURE_PHASE_CORE,Future module,Preserve and map before exposing UI; procurement has audit sensitivity.,42,NO
cmms_jobcard_attendedby_dtl,Job Cards,ACTIVE_MVP_CORE,Phase 6 active,"Target for Slice 2/3: auto-create, execution, verify-close, PDF.",27890,YES
