table_name,row_count_from_dump,has_data,module_guess
audit_log,20,YES,Audit / Security
audit_log_changes,0,NO,Audit / Security
cmms_amc_mst,0,NO,Procurement / AMC / Inventory
cmms_checklist_hist,811,YES,Master Data / Lookup
cmms_checklist_mst,928,YES,Master Data / Lookup
cmms_checklist_tasks,7536,YES,Master Data / Lookup
cmms_checklist_tasks_hist,8450,YES,Master Data / Lookup
cmms_cont_mst,540,YES,Vendor / Manufacturer
cmms_designation_mst,40,YES,Organization / Employee
cmms_desig_hist,132,YES,Organization / Employee
cmms_device_spares_mst,67,YES,Master Data / Lookup
cmms_division_hist,3676,YES,Organization / Employee
cmms_documentno_mst,151,YES,Other / Cross-cutting
cmms_emp_mst,60,YES,Organization / Employee
cmms_eqipinst_identification,2286,YES,Equipment / Instruments
cmms_eqip_detail_spec,3,YES,Equipment / Instruments
cmms_eqip_mst,5705,YES,Equipment / Instruments
cmms_eqip_mst_hist,519,YES,Equipment / Instruments
cmms_eqip_tec_spec,0,NO,Equipment / Instruments
cmms_fault_mst,30,YES,Job Cards
cmms_ins_accuracy_info,1501,YES,Equipment / Instruments
cmms_inv_eqip_dtl,24,YES,Equipment / Instruments
cmms_inv_mst,42,YES,Procurement / AMC / Inventory
cmms_jobcard_attendedby_dtl,27890,YES,Job Cards
cmms_jobcard_awaitinginfo,7261,YES,Job Cards
cmms_jobcard_cal_adjustments_dtl,1831,YES,Job Cards
cmms_jobcard_cal_dtl,9065,YES,Job Cards
cmms_jobcard_cal_observations,77171,YES,Job Cards
cmms_jobcard_contract_warranty_dtl,17225,YES,Job Cards
cmms_jobcard_eq_used,38316,YES,Job Cards
cmms_jobcard_faulty_category,8605,YES,Job Cards
cmms_jobcard_faulty_section,8131,YES,Job Cards
cmms_jobcard_inspection_info,2214,YES,Job Cards
cmms_jobcard_mst,19432,YES,Job Cards
cmms_jobcard_mst_history,22143,YES,Job Cards
cmms_jobcard_repair_info,8118,YES,Job Cards
cmms_jobcard_request_info,19432,YES,Job Cards
cmms_jobcard_request_item_dtl,11064,YES,Job Cards
cmms_jobcard_spares_equip,2804,YES,Job Cards
cmms_jobcard_status_hist,22214,YES,Job Cards
cmms_jobrequest_item_dtl,7786,YES,Job Requests
cmms_jobrequest_mst,21490,YES,Job Requests
cmms_jobrequest_project_dtl,19624,YES,Job Requests
cmms_lineitem_mst,24,YES,Master Data / Lookup
cmms_parameter_master,367,YES,Master Data / Lookup
cmms_po_item_dtl,303,YES,Procurement / AMC / Inventory
cmms_po_mst,115,YES,Procurement / AMC / Inventory
cmms_po_payment_dtl,187,YES,Procurement / AMC / Inventory
cmms_po_receive_dtl,42,YES,Procurement / AMC / Inventory
cmms_product_mst,32,YES,Master Data / Lookup
cmms_proj_mst,182,YES,Master Data / Lookup
cmms_pur_dtl,0,NO,Procurement / AMC / Inventory
cmms_pur_mst,0,NO,Procurement / AMC / Inventory
cmms_schedule_eqip_dtl,316,YES,Equipment / Instruments
cmms_schedule_mst,6,YES,Scheduling / PM-CAL
cmms_section_mst,294,YES,Organization / Employee
cmms_supplier_mfr,159,YES,Vendor / Manufacturer
cmms_task_mst,1489,YES,Master Data / Lookup
cmms_vendor_doc_spec,0,NO,Vendor / Manufacturer
departments,1,YES,Organization / Employee
equipment_status_history,0,NO,Equipment / Instruments
export_audit,0,NO,Audit / Security
job_request_accessories,3,YES,Job Requests
job_request_status_history,8,YES,Job Requests
login_audit,57,YES,Auth & RBAC
permissions,40,YES,Auth & RBAC
refresh_tokens,43,YES,Auth & RBAC
roles,5,YES,Auth & RBAC
role_permissions,122,YES,Auth & RBAC
schema_migrations,15,YES,Other / Cross-cutting
sections,2,YES,Organization / Employee
sysdiagrams,0,NO,Other / Cross-cutting
tmpcaldtl,732,YES,Other / Cross-cutting
users,60,YES,Auth & RBAC
user_roles,60,YES,Auth & RBAC
_legacy_accessright_mst,3221,YES,Legacy / Isolated
_legacy_cal_jobcard_feedback_spec,0,NO,Legacy / Isolated
_legacy_cf001,6,YES,Legacy / Isolated
_legacy_cf002,553,YES,Legacy / Isolated
_legacy_cf003,570,YES,Legacy / Isolated
_legacy_cf004,3449,YES,Legacy / Isolated
_legacy_chklistvendor,238,YES,Legacy / Isolated
_legacy_jobcard_insp_maint_dtl,0,NO,Legacy / Isolated
_legacy_module_mst,163,YES,Legacy / Isolated
_legacy_parameter_master_bkp,4,YES,Legacy / Isolated
_legacy_parameter_master_incharge,9,YES,Legacy / Isolated
_legacy_parameter_master_jun2016,233,YES,Legacy / Isolated
_legacy_role_mst,23,YES,Legacy / Isolated
_legacy_section_user_mst,294,YES,Legacy / Isolated
_legacy_userrole_mst,565,YES,Legacy / Isolated
