table_name,column_name,data_type_raw,base_type,nullable,default_value,enum_values_count,enum_values,module_guess,column_role_guess
cmms_checklist_hist,CHKL_STATE,tinyint(1),tinyint,NO,,0,,Master Data / Lookup,
cmms_checklist_mst,CHKL_STATE,tinyint(1),tinyint,NO,,0,,Master Data / Lookup,
cmms_cont_mst,CMM_CONT_TYPE,"enum('MFR','VENDOR','BOTH','OEM')",enum,NO,'BOTH',4,MFR|VENDOR|BOTH|OEM,Vendor / Manufacturer,status_enum
cmms_cont_mst,CMM_CONT_STATE,varchar(100),varchar,YES,NULL,0,,Vendor / Manufacturer,
cmms_cont_mst,CMM_CONT_STATE_FLAG,tinyint(1),tinyint,NO,1,0,,Vendor / Manufacturer,
cmms_designation_mst,DG_STATE,tinyint(1),tinyint,NO,,0,,Organization / Employee,
cmms_device_spares_mst,DS_STATE,tinyint(1),tinyint,NO,,0,,Master Data / Lookup,
cmms_division_hist,EQD_STATUS,varchar(50),varchar,NO,,0,,Organization / Employee,status
cmms_division_hist,EQD_STATUS_DATE,datetime(6),datetime,NO,,0,,Organization / Employee,status|audit_date
cmms_emp_mst,EMM_STATE,varchar(100),varchar,YES,NULL,0,,Organization / Employee,
cmms_eqip_mst,EQM_DIV_STATUS,varchar(50),varchar,YES,NULL,0,,Equipment / Instruments,status
cmms_eqip_mst,EQM_STATUS_UPD_DATE,datetime(6),datetime,YES,NULL,0,,Equipment / Instruments,status|audit_date
cmms_eqip_mst,EQM_MVP_STATUS,"enum('PENDING_VERIFICATION','ACTIVE','UNDER_CALIBRATION','UNDER_REPAIR','OUT_OF_TOLERANCE','QUARANTINED','CONDEMNED','RETIRED')",enum,NO,'PENDING_VERIFICATION',8,PENDING_VERIFICATION|ACTIVE|UNDER_CALIBRATION|UNDER_REPAIR|OUT_OF_TOLERANCE|QUARANTINED|CONDEMNED|RETIRED,Equipment / Instruments,status_enum
cmms_eqip_mst,EQM_MVP_STATUS_AT,datetime(6),datetime,YES,NULL,0,,Equipment / Instruments,status|audit_date
cmms_eqip_mst_hist,EQM_DIV_STATUS,varchar(50),varchar,YES,NULL,0,,Equipment / Instruments,status
cmms_eqip_mst_hist,EQM_STATUS_UPD_DATE,datetime(6),datetime,YES,NULL,0,,Equipment / Instruments,status|audit_date
cmms_inv_mst,INV_STATE,tinyint(1),tinyint,NO,,0,,Procurement / AMC / Inventory,
cmms_jobcard_awaitinginfo,RepairStatus,varchar(50),varchar,YES,NULL,0,,Job Cards,status
cmms_jobcard_cal_dtl,JCD_CALStatus,varchar(50),varchar,YES,NULL,0,,Job Cards,status
cmms_jobcard_cal_dtl,JCD_EQStatusAsRecd,varchar(50),varchar,YES,NULL,0,,Job Cards,status
cmms_jobcard_cal_observations,Status,varchar(15),varchar,YES,NULL,0,,Job Cards,status
cmms_jobcard_inspection_info,EqRecdStatus,tinyint(3) UNSIGNED,tinyint,YES,NULL,0,,Job Cards,status
